# t (s)	mx ()	my ()	mz ()	m_zrange0-20_x ()	m_zrange0-20_y ()	m_zrange0-20_z ()	m_zrange21-31_x ()	m_zrange21-31_y ()	m_zrange21-31_z ()	m_zrange32-52_x ()	m_zrange32-52_y ()	m_zrange32-52_z ()
6.100000000000035e-10	0.30007875	0.03111319	-0.009730801	0.34817702	-0.084466636	-0.006174635	0.16770089	0.49965516	-0.025901705	0.34817725	-0.08446662	-0.006174593
6.200000000000065e-10	0.29840693	0.03985922	-0.010328046	0.354909	-0.0761904	-0.0064160777	0.13207933	0.5120295	-0.028041545	0.3549093	-0.076190375	-0.0064160703
6.300000000000096e-10	0.29802898	0.045523323	-0.013305394	0.36485353	-0.07147559	-0.009643025	0.09033604	0.52262354	-0.030615885	0.3648538	-0.07147555	-0.009643058
6.400000000000127e-10	0.30065855	0.048095994	-0.016901424	0.38024548	-0.069243416	-0.012951883	0.04244215	0.5270728	-0.036079776	0.38024575	-0.069243394	-0.012951928
6.500000000000157e-10	0.30481836	0.048204474	-0.018595247	0.39953512	-0.06712333	-0.0134984255	-0.013085234	0.5191566	-0.042701524	0.39953527	-0.06712333	-0.013498448
6.600000000000188e-10	0.30846375	0.046562575	-0.017863652	0.41906756	-0.06385919	-0.011334591	-0.07225895	0.49756217	-0.047552664	0.41906768	-0.06385921	-0.011334578
6.700000000000219e-10	0.31106016	0.042813286	-0.016025864	0.43612266	-0.0605857	-0.008773963	-0.12697807	0.46497202	-0.048238706	0.4361228	-0.060585737	-0.008773929
6.80000000000025e-10	0.31363022	0.037839808	-0.014877646	0.45005688	-0.05778981	-0.0083484445	-0.16935046	0.4279264	-0.043970037	0.45005694	-0.057789873	-0.008348415
6.90000000000028e-10	0.31650555	0.034320477	-0.015115504	0.46117944	-0.054285157	-0.010552952	-0.19888912	0.39560726	-0.036388826	0.46117955	-0.05428523	-0.010552945
7.000000000000311e-10	0.32037148	0.035057094	-0.016254652	0.47157708	-0.048562624	-0.014262632	-0.22037664	0.3765475	-0.027473623	0.4715771	-0.04856267	-0.014262656
7.100000000000342e-10	0.3249543	0.041855827	-0.017491307	0.48229328	-0.03909401	-0.017646637	-0.23941085	0.37402636	-0.020368142	0.4822933	-0.03909402	-0.017646685
7.200000000000372e-10	0.3290165	0.0532759	-0.017638296	0.49246234	-0.025774652	-0.01848903	-0.25896397	0.38013312	-0.017762886	0.49246246	-0.02577458	-0.018489094
7.300000000000403e-10	0.3313393	0.06564315	-0.016128631	0.50104266	-0.01156403	-0.01579628	-0.28120643	0.38760024	-0.02068362	0.5010427	-0.011563879	-0.015796347
7.400000000000434e-10	0.33190027	0.07405679	-0.013369244	0.50851643	-0.0011381898	-0.010626095	-0.3081845	0.38964763	-0.027015572	0.50851655	-0.0011379722	-0.010626154
7.500000000000464e-10	0.33207008	0.07653585	-0.010455677	0.5166128	0.0035390698	-0.0057306974	-0.3396873	0.3838296	-0.031446688	0.51661307	0.0035393469	-0.0057307193
